num,source,target
1,Chong_etal_2009,Wernli_1999
2,Chong_etal_2009,Kato_2000
3,Chong_etal_2009,Saimek_Li_2004
4,Chong_etal_2009,MacIver_etal_2004
5,Chong_etal_2009,Leonard_1995
6,Chong_etal_2009,Li_Saimek_1999
7,Chong_etal_2009,Low_Willy_2006
8,Chong_etal_2009,Unknown_2003
9,Chong_etal_2009,Breder_1929
10,Chong_etal_2009,Lindsey_1978
11,Chong_etal_2009,Taguchi_Wu_1993
12,Chong_etal_2009,Sfakiotakis_etal_1999
13,Chong_etal_2009,Magnuson_1978
14,Struebig_etal_2020,Carlton_etal_2013
15,Struebig_etal_2020,Du_etal_2015
16,Struebig_etal_2020,Sfakiotakis_etal_1999
17,Struebig_etal_2020,van_Ginneken_etal_2005
18,Struebig_etal_2020,Vorus_Taravella_2011
19,Struebig_etal_2020,Lindsey_1978
20,Struebig_etal_2020,Barrett_1988
21,Struebig_etal_2020,McIsaac_Ostrowski_2002
22,Struebig_etal_2020,Westphal_etal_2011
23,Struebig_etal_2020,Stefanini_etal_2012
24,Struebig_etal_2020,Liljeback_etal_2014
25,Struebig_etal_2020,Crespi_etal_2005
26,Struebig_etal_2020,Crespi_Ijspeert_2006
27,Struebig_etal_2020,Porez_etal_2014
28,Struebig_etal_2020,Yu_etal_2009
29,Struebig_etal_2020,Manfredi_etal_2014
30,Struebig_etal_2020,Bayat_etal_2016
31,Struebig_etal_2020,Williams_1989
32,Struebig_etal_2020,Nicolas_Bideau_2009
33,Struebig_etal_2020,Zarrouk_etal_2016
34,Struebig_etal_2020,Leftwich_etal_2012
35,Struebig_etal_2020,Maurya_etal_2009
36,Struebig_etal_2020,Paschal_2017
37,Zhong_etal_2018c,Taylor_etal_2003
38,Zhong_etal_2018c,Lighthill_2006
39,Zhong_etal_2018c,Sfakiotakis_etal_1999
40,Zhong_etal_2018c,Anderson_Chhabra_2002
41,Zhong_etal_2018c,Yu_etal_2004
42,Zhong_etal_2018c,Zhong_etal_2018a
43,Zhong_etal_2018c,Liu_Hu_2010
44,Zhong_etal_2018c,y_Alvadaro_Youcef-Toumi_2003
45,Zhong_etal_2018c,Zhong_etal_2003
46,Zhong_etal_2018c,Paxton_etal_1998
47,Zhong_etal_2018c,Lauder_etal_2007
48,Zhong_etal_2018c,Anderson_etal_1998
49,Zhong_etal_2018c,Wen_Lauder_2013
50,Zhong_etal_2018c,Zhong_etal_2018b
51,Zhong_etal_2018c,Lauder_etal_2011
52,Zhong_etal_2018c,Wardler_etal_1995
53,Zhong_etal_2018c,Triantafyllou_etal_2000
54,Zhong_etal_2018c,Lauder_Tytell_2005
55,Zhong_etal_2018c,Hover_etal_2004
56,Zhong_etal_2018c,Lu_etal_2013
57,Zhong_etal_2018c,Long_etal_2006
58,Zhong_etal_2018c,Liu_Hu_2006
59,Zhong_etal_2018c,Zhong_Du_2016
60,Zhong_etal_2018c,Zhong_Du_2016b
61,Zhong_etal_2018c,Zhong_etal_2017
62,Zhong_etal_2018c,Newman_Wu_1973
63,Zhong_etal_2018c,Epps_etal_2009
64,Zhong_etal_2018c,Fossen_1994
65,Zhong_etal_2018c,Hoerner_Bost_1985
66,Zhong_etal_2018c,Pedley_Hill_1999
67,Zhong_etal_2018c,Journee_Massie_2000
68,Zhong_etal_2018c,Bainbridge_1958
69,Zhong_etal_2018c,Videler_Wardle_1991
70,Zhong_etal_2018c,Kaya_Tuncer_2007
71,Zhong_etal_2018c,Clapham_Hu_2015
72,Zhong_etal_2018c,El_Daou_etal_2014
73,Zhong_etal_2018c,Chowdhury_etal_2014
74,Zhong_etal_2018c,Anderson_etal_2001
75,Zhong_etal_2018c,Tytell_2004
76,Liu_Hu_2005,Streitlien_etal_1996
77,Liu_Hu_2005,Guo_etal_1998
78,Liu_Hu_2005,Videler_1993
79,Liu_Hu_2005,Igor_etal_1999
80,Liu_Hu_2005,Liu_Hu_2004
81,Liu_Hu_2005,Yu_etal_2004b
82,Niu_Xu_2014,Yu_etal_2007
83,Niu_Xu_2014,Zhou_etal_2008
84,Niu_Xu_2014,Sfakiotakis_etal_1999
85,Niu_Xu_2014,Zhang_etal_2012
86,Niu_Xu_2014,Zhang_etal_2011
87,Niu_Xu_2014,Nguyen_etal_2013
88,Niu_Xu_2014,Lighthill_1970
89,Niu_Xu_2014,Lighthill_1971
90,Niu_Xu_2014,Yu_etal_2004
91,Niu_Xu_2014,Morgansen_etal_2001
92,Niu_Xu_2014,Morgansen_etal_2002
93,Niu_Xu_2014,Morgansen_etal_2007
94,Niu_Xu_2014,Boyger_etal_2006
95,Niu_Xu_2014,Sfakiotakis_Tsakiris_2007
96,Niu_Xu_2014,Yu_etal_2007b
97,Niu_Xu_2014,Su_etal_2010
98,Niu_Xu_2014,Yu_etal_2011
99,Niu_Xu_2014,McIsaac_Ostrowski_2000
100,Niu_Xu_2014,McIsaac_Ostrowski_2002
101,Niu_Xu_2014,Yu_etal_2008
102,Niu_Xu_2014,Low_etal_2009
103,Niu_Xu_2014,McIsaac_Ostrowski_2003
104,Niu_Xu_2014,Ijspeet_2008
105,Niu_Xu_2014,Colgate_Lynch_2004
106,Niu_Xu_2014,Craig_1989
107,Niu_Xu_2014,Yang_Sung_2009
108,Niu_Xu_2014,Slotine_Li_1991
109,Niu_Xu_2014,Cao_Xu_2004
110,Niu_Xu_2014,Smith_etal_2006
111,Niu_Xu_2014,Hoppensteadt_Izhikevich_1997
112,Niu_Xu_2014,Yu_etal_2011b
113,Niu_Xu_2014,Keo_etal_2010
